Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,0.04264569282531738,0.09599661827087402,17.469851576994415,0.8912655971479495,5.5176303957014605
1,0.03603076934814453,0.17336297035217285,17.469851576994415,0.8912655971479495,5.548286561993755
2,0.03025507926940918,0.24307537078857422,17.469851576994415,1.0101010101010104,5.578260437309501
3,0.03463459014892578,0.3237428665161133,37.50695732838591,0.7724301841948904,6.322129581679568
4,0.03211712837219238,0.39545631408691406,1.4401669758812545,1.3666072489601895,6.9603090792905835
5,0.02886486053466797,0.47350502014160156,17.469851576994415,0.8912655971479495,5.514307592411976
6,0.03822922706604004,0.5604734420776367,17.469851576994415,0.8912655971479495,5.554224015367756
7,0.02984166145324707,0.649899959564209,1.4401669758812545,1.3666072489601895,6.927226772980096
8,0.030400991439819336,0.7221300601959229,0.7722634508348847,-1.3666072489601895,6.075443852663939
9,0.03135490417480469,0.8038284778594971,37.50695732838591,0.2970885323826504,5.7696587726939565
10,0.03033924102783203,0.9151785373687744,1.4401669758812545,1.3666072489601895,6.872818638745033
11,0.035761356353759766,1.026092290878296,17.469851576994415,-0.8912655971479495,5.638151140302267
12,0.03245663642883301,1.1205933094024658,3.1099257884972076,1.1289364230540713,5.724654179698849
13,0.03299880027770996,1.2029428482055664,1.4401669758812545,-0.8912655971479495,6.8351114067358685
14,0.038252830505371094,1.282449722290039,17.469851576994415,0.8912655971479495,5.637027497160353
15,0.03302311897277832,1.3579974174499512,17.469851576994415,0.8912655971479495,5.413360241808228
16,0.0315396785736084,1.4320776462554932,1.4401669758812545,-1.0101010101010104,6.896116250640002
17,0.029398679733276367,1.5010364055633545,0.10435992578848641,-0.8912655971479495,6.029596422363287
18,0.028786897659301758,1.5663440227508545,17.469851576994415,-0.8912655971479495,5.615114354780998
19,0.03034806251525879,1.6357603073120117,1.4401669758812545,0.2970885323826504,6.893631593523541
20,0.03205227851867676,1.711827039718628,16.801948051948045,0.8912655971479495,5.5440371962893975
21,0.026315689086914062,1.78309965133667,17.469851576994415,-0.8912655971479495,5.601750491550816
22,0.032128095626831055,1.853917121887207,1.4401669758812545,0.5347593582887704,7.005359572844558
23,0.032824039459228516,1.9210412502288818,17.469851576994415,0.8912655971479495,5.623264201124736
