Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.5031602382659912,1.5495307445526123,16.801948051948045,-1.0101010101010104,4.962019332275942
1,2.443394184112549,4.046016216278076,16.801948051948045,-1.0101010101010104,4.920338898256454
2,3.2916102409362793,7.510239839553833,16.801948051948045,-0.8912655971479495,4.822112887726551
3,3.622359275817871,11.181123733520508,16.801948051948045,1.0101010101010104,5.002663553645166
4,2.8366611003875732,14.065090656280518,16.801948051948045,1.1289364230540713,4.926622534111453
5,2.6901471614837646,16.79484796524048,,,
6,2.772143840789795,19.601544857025146,16.801948051948045,-0.8912655971479495,4.877614035374585
7,2.537849187850952,22.186485052108765,17.469851576994415,1.1289364230540713,5.010309801228369
8,2.4413657188415527,24.67826509475708,17.469851576994415,1.0101010101010104,4.911329635148184
9,2.5228707790374756,27.267160415649414,17.469851576994415,1.0101010101010104,4.886649849445716
10,2.5802178382873535,29.901824712753296,16.801948051948045,1.1289364230540713,4.881059601444813
11,1.560608148574829,31.504782915115356,,,
12,4.2510459423065186,35.82802939414978,17.469851576994415,1.0101010101010104,4.8712879024816225
13,3.1490726470947266,39.0402090549469,17.469851576994415,1.0101010101010104,4.980005035905018
14,2.516646146774292,41.607380867004395,,,
15,2.7205402851104736,44.37288045883179,,,
16,2.5374341011047363,46.95559763908386,16.801948051948045,1.0101010101010104,4.951668346805695
17,2.5298774242401123,49.518062353134155,16.801948051948045,1.0101010101010104,5.019961955278296
18,3.178994655609131,52.73488807678223,16.801948051948045,1.0101010101010104,4.9259299084158075
19,3.952005386352539,56.727383852005005,,,
20,2.47432804107666,59.23103594779968,17.469851576994415,-1.0101010101010104,4.984230633352272
